feature_type,model_name,model_id,evaluation_split,feature_generation_seconds,train_seconds,model_artifact_size_bytes,deployment_type,api_required,local_only,runtime_dependency,inference_seconds,inference_seconds_per_email,throughput_emails_per_second,estimated_input_tokens,estimated_token_cost_usd,estimated_cost_per_email_usd,projected_seconds_10k,projected_seconds_100k,projected_seconds_1m,projected_cost_10k_usd,projected_cost_100k_usd,projected_cost_1m_usd,source_report,embedding_model,scenario
tfidf,lr,tfidf_lr,validation,9.5947,0.3017,943380,local,False,True,scikit-learn,0.002,1.5e-07,6838500.0,0,0.0,0.0,0.0015,0.0146,0.1462,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,lr,tfidf_lr,test,9.5947,0.3017,943380,local,False,True,scikit-learn,0.002,1.5e-07,6838500.0,0,0.0,0.0,0.0015,0.0146,0.1462,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,nb,tfidf_nb,validation,9.5947,0.0167,1423308,local,False,True,scikit-learn,0.0067,4.9e-07,2041343.2836,0,0.0,0.0,0.0049,0.049,0.4899,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,nb,tfidf_nb,test,9.5947,0.0167,1423308,local,False,True,scikit-learn,0.007,5.1e-07,1953857.1429,0,0.0,0.0,0.0051,0.0512,0.5118,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,rf,tfidf_rf,validation,9.5947,19.222,50889957,local,False,True,scikit-learn,0.4028,2.945e-05,33954.8163,0,0.0,0.0,0.2945,2.9451,29.4509,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,rf,tfidf_rf,test,9.5947,19.222,50889957,local,False,True,scikit-learn,0.3918,2.865e-05,34908.1164,0,0.0,0.0,0.2865,2.8647,28.6466,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,svm,tfidf_svm,validation,9.5947,5.5674,943248,local,False,True,scikit-learn,0.0017,1.2e-07,8045294.1176,0,0.0,0.0,0.0012,0.0124,0.1243,0.0,0.0,0.0,ml_baseline_results.csv,,
tfidf,svm,tfidf_svm,test,9.5947,5.5674,943248,local,False,True,scikit-learn,0.0015,1.1e-07,9118000.0,0,0.0,0.0,0.0011,0.011,0.1097,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,lr,word2vec_lr,validation,254.9432,0.1252,84468269,local,False,True,gensim + scikit-learn,0.0012,9e-08,11397500.0,0,0.0,0.0,0.0009,0.0088,0.0877,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,lr,word2vec_lr,test,254.9432,0.1252,84468269,local,False,True,gensim + scikit-learn,0.0012,9e-08,11397500.0,0,0.0,0.0,0.0009,0.0088,0.0877,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,nb,word2vec_nb,validation,254.9432,0.0158,84470565,local,False,True,gensim + scikit-learn,0.0049,3.6e-07,2791224.4898,0,0.0,0.0,0.0036,0.0358,0.3583,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,nb,word2vec_nb,test,254.9432,0.0158,84470565,local,False,True,gensim + scikit-learn,0.0038,2.8e-07,3599210.5263,0,0.0,0.0,0.0028,0.0278,0.2778,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,rf,word2vec_rf,validation,254.9432,24.9612,102441603,local,False,True,gensim + scikit-learn,0.0696,5.09e-06,196508.6207,0,0.0,0.0,0.0509,0.5089,5.0888,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,rf,word2vec_rf,test,254.9432,24.9612,102441603,local,False,True,gensim + scikit-learn,0.0678,4.96e-06,201725.6637,0,0.0,0.0,0.0496,0.4957,4.9572,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,svm,word2vec_svm,validation,254.9432,0.34,84468137,local,False,True,gensim + scikit-learn,0.0017,1.2e-07,8045294.1176,0,0.0,0.0,0.0012,0.0124,0.1243,0.0,0.0,0.0,ml_baseline_results.csv,,
word2vec,svm,word2vec_svm,test,254.9432,0.34,84468137,local,False,True,gensim + scikit-learn,0.0014,1e-07,9769285.7143,0,0.0,0.0,0.001,0.0102,0.1024,0.0,0.0,0.0,ml_baseline_results.csv,,
openai_embedding,lr,text_embedding_3_small_lr,validation,68.7485,0.8773,13322,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0931,6.81e-06,146906.5521,4117249,0.082345,6.0207e-06,0.0681,0.6807,6.807,0.060207,0.602069,6.020692,openai_embedding_results.csv,text-embedding-3-small,
openai_embedding,lr,text_embedding_3_small_lr,test,63.8571,0.8773,13322,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0184,1.35e-06,743315.2174,4002573,0.080051,5.853e-06,0.0135,0.1345,1.3453,0.05853,0.585296,5.852965,openai_embedding_results.csv,text-embedding-3-small,
openai_embedding,svm,text_embedding_3_small_svm,validation,68.7485,3.8807,13190,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0629,4.6e-06,217440.3816,4117249,0.082345,6.0207e-06,0.046,0.4599,4.599,0.060207,0.602069,6.020692,openai_embedding_results.csv,text-embedding-3-small,
openai_embedding,svm,text_embedding_3_small_svm,test,63.8571,3.8807,13190,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0274,2e-06,499160.5839,4002573,0.080051,5.853e-06,0.02,0.2003,2.0034,0.05853,0.585296,5.852965,openai_embedding_results.csv,text-embedding-3-small,
openai_embedding,rf,text_embedding_3_small_rf,validation,68.7485,147.8575,20819540,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.1657,1.212e-05,82540.7363,4117249,0.082345,6.0207e-06,0.1212,1.2115,12.1152,0.060207,0.602069,6.020692,openai_embedding_results.csv,text-embedding-3-small,
openai_embedding,rf,text_embedding_3_small_rf,test,63.8571,147.8575,20819540,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.1746,1.277e-05,78333.3333,4002573,0.080051,5.853e-06,0.1277,1.2766,12.766,0.05853,0.585296,5.852965,openai_embedding_results.csv,text-embedding-3-small,
openai_embedding,lr,text_embedding_3_large_lr,validation,90.33,1.0586,25610,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.245,1.791e-05,55824.4898,4117249,0.535242,3.91345e-05,0.1791,1.7913,17.9133,0.391345,3.913446,39.134459,openai_embedding_results.csv,text-embedding-3-large,
openai_embedding,lr,text_embedding_3_large_lr,test,90.4671,1.0586,25610,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0153,1.12e-06,893921.5686,4002573,0.520334,3.80445e-05,0.0112,0.1119,1.1187,0.380445,3.804445,38.044454,openai_embedding_results.csv,text-embedding-3-large,
openai_embedding,svm,text_embedding_3_large_svm,validation,90.33,6.5807,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.1232,9.01e-06,111014.6104,4117249,0.535242,3.91345e-05,0.0901,0.9008,9.0078,0.391345,3.913446,39.134459,openai_embedding_results.csv,text-embedding-3-large,
openai_embedding,svm,text_embedding_3_large_svm,test,90.4671,6.5807,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0757,5.53e-06,180673.712,4002573,0.520334,3.80445e-05,0.0553,0.5535,5.5348,0.380445,3.804445,38.044454,openai_embedding_results.csv,text-embedding-3-large,
openai_embedding,rf,text_embedding_3_large_rf,validation,90.33,240.3859,17192980,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.3176,2.322e-05,43063.602,4117249,0.535242,3.91345e-05,0.2322,2.3221,23.2215,0.391345,3.913446,39.134459,openai_embedding_results.csv,text-embedding-3-large,
openai_embedding,rf,text_embedding_3_large_rf,test,90.4671,240.3859,17192980,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.3111,2.275e-05,43963.3558,4002573,0.520334,3.80445e-05,0.2275,2.2746,22.7462,0.380445,3.804445,38.044454,openai_embedding_results.csv,text-embedding-3-large,
tfidf,svm,tfidf_svm,,,,943248,local,False,True,local Python ML stack,0.0016,1.2e-07,8548125.0,0,0.0,0.0,0.0012,0.0117,0.117,0.0,0.0,0.0,champion_robustness_results.csv,,original_test
tfidf,svm,tfidf_svm,,,,943248,local,False,True,local Python ML stack,0.0015,1.1e-07,9118000.0,0,0.0,0.0,0.0011,0.011,0.1097,0.0,0.0,0.0,champion_robustness_results.csv,,level2_robustness
openai_embedding,svm,text_embedding_3_large_svm,,,,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.1514,1.107e-05,90336.856,4002573,0.520334,3.80445e-05,0.1107,1.107,11.0697,0.380445,3.804445,38.044454,champion_robustness_results.csv,text-embedding-3-large,original_test
openai_embedding,svm,text_embedding_3_large_svm,,88.4764,,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,0.0292,2.13e-06,468390.411,4186072,0.544189,3.97886e-05,0.0213,0.2135,2.135,0.397886,3.978862,39.788623,champion_robustness_results.csv,text-embedding-3-large,level2_robustness
