feature_type,model_name,model_id,evaluation_split,train_rows,validation_rows,test_rows,feature_generation_seconds,train_seconds,artifact_path,model_artifact_size_bytes,deployment_type,api_required,local_only,runtime_dependency,token_cost_method,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,false_positive_rate,false_negative_rate,roc_auc,inference_seconds,total_runtime_seconds,inference_seconds_per_email,throughput_emails_per_second,estimated_input_tokens,estimated_token_cost_usd,estimated_cost_per_email_usd,projected_seconds_10k,projected_seconds_100k,projected_seconds_1m,projected_cost_10k_usd,projected_cost_100k_usd,projected_cost_1m_usd
tfidf,lr,tfidf_lr,validation,39314,13677,13677,9.5947,0.3017,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_lr.joblib,943380,local,False,True,scikit-learn,not_applicable,0.9869854500255905,0.9849204132923765,0.9901740595171252,0.9875402491950162,0.9868465292244561,6445,108,70,7054,0.01648100106821303,0.009825940482874789,0.9988998592481312,0.002,9.8984,1.5e-07,6838500.0,0,0.0,0.0,0.0015,0.0146,0.1462,0.0,0.0,0.0
tfidf,lr,tfidf_lr,test,39314,13677,13677,9.5947,0.3017,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_lr.joblib,943380,local,False,True,scikit-learn,not_applicable,0.9872047963734737,0.9864202715945681,0.9890510948905109,0.9877339314501997,0.9871243571507339,6456,97,78,7046,0.014802380589043186,0.010948905109489052,0.9990165705400605,0.002,9.8984,1.5e-07,6838500.0,0,0.0,0.0,0.0015,0.0146,0.1462,0.0,0.0,0.0
tfidf,nb,tfidf_nb,validation,39314,13677,13677,9.5947,0.0167,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_nb.joblib,1423308,local,False,True,scikit-learn,not_applicable,0.9560576149740441,0.9903773868591189,0.9246209994385177,0.9563702359346642,0.957427240143492,6489,64,537,6587,0.009766519151533648,0.0753790005614823,0.9963910752159241,0.0067,9.6181,4.9e-07,2041343.2836,0,0.0,0.0,0.0049,0.049,0.4899,0.0,0.0,0.0
tfidf,nb,tfidf_nb,test,39314,13677,13677,9.5947,0.0167,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_nb.joblib,1423308,local,False,True,scikit-learn,not_applicable,0.9567887694669883,0.9921651348500828,0.9243402582818642,0.9570525397863527,0.9582024807356215,6501,52,539,6585,0.007935296810621089,0.07565974171813587,0.9966436158741239,0.007,9.6184,5.1e-07,1953857.1429,0,0.0,0.0,0.0051,0.0512,0.5118,0.0,0.0,0.0
tfidf,rf,tfidf_rf,validation,39314,13677,13677,9.5947,19.222,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_rf.joblib,50889957,local,False,True,scikit-learn,not_applicable,0.9773342107187248,0.9816228442182641,0.9747332959011791,0.9781659388646288,0.9774475269373132,6423,130,180,6944,0.019838242026552724,0.025266704098820886,0.9977019860433988,0.4028,29.2195,2.945e-05,33954.8163,0,0.0,0.0,0.2945,2.9451,29.4509,0.0,0.0,0.0
tfidf,rf,tfidf_rf,test,39314,13677,13677,9.5947,19.222,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_rf.joblib,50889957,local,False,True,scikit-learn,not_applicable,0.9789427506032025,0.9829047753602712,0.9765581134194273,0.9797211660329531,0.9790466440742795,6432,121,167,6957,0.018464825270868304,0.023441886580572713,0.9980920590223901,0.3918,29.2085,2.865e-05,34908.1164,0,0.0,0.0,0.2865,2.8647,28.6466,0.0,0.0,0.0
tfidf,svm,tfidf_svm,validation,39314,13677,13677,9.5947,5.5674,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_svm.joblib,943248,local,False,True,scikit-learn,not_applicable,0.9918841851283177,0.9903509998601594,0.9941044357102752,0.9922241681260946,0.991787453625014,6484,69,42,7082,0.010529528460247215,0.005895564289724873,0.9996036828544312,0.0017,15.1638,1.2e-07,8045294.1176,0,0.0,0.0,0.0012,0.0124,0.1243,0.0,0.0,0.0
tfidf,svm,tfidf_svm,test,39314,13677,13677,9.5947,5.5674,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_svm.joblib,943248,local,False,True,scikit-learn,not_applicable,0.9918841851283177,0.9924167953939054,0.9919988770353734,0.9922077922077922,0.9918791882506335,6499,54,57,7067,0.008240500534106516,0.008001122964626614,0.999458246254164,0.0015,15.1636,1.1e-07,9118000.0,0,0.0,0.0,0.0011,0.011,0.1097,0.0,0.0,0.0
word2vec,lr,word2vec_lr,validation,39314,13677,13677,254.9432,0.1252,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_lr.joblib,84468269,local,False,True,gensim + scikit-learn,not_applicable,0.9752869781384806,0.9736180904522613,0.9790847838293094,0.9763437849944009,0.9751215159799683,6364,189,149,6975,0.028841751869372805,0.02091521617069062,0.996451117750801,0.0012,255.0696,9e-08,11397500.0,0,0.0,0.0,0.0009,0.0088,0.0877,0.0,0.0,0.0
word2vec,lr,word2vec_lr,test,39314,13677,13677,254.9432,0.1252,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_lr.joblib,84468269,local,False,True,gensim + scikit-learn,not_applicable,0.9768955180229583,0.9786276715410573,0.9769792251544076,0.9778027535824669,0.9768918710847576,6401,152,164,6960,0.023195482984892414,0.023020774845592364,0.996339718820145,0.0012,255.0696,9e-08,11397500.0,0,0.0,0.0,0.0009,0.0088,0.0877,0.0,0.0,0.0
word2vec,nb,word2vec_nb,validation,39314,13677,13677,254.9432,0.0158,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_nb.joblib,84470565,local,False,True,gensim + scikit-learn,not_applicable,0.7649338305183885,0.8852749852158486,0.6304042672655812,0.7364105927687136,0.770794991865661,5971,582,2633,4491,0.08881428353425912,0.36959573273441887,0.9103072704033874,0.0049,254.9639,3.6e-07,2791224.4898,0,0.0,0.0,0.0036,0.0358,0.3583,0.0,0.0,0.0
word2vec,nb,word2vec_nb,test,39314,13677,13677,254.9432,0.0158,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_nb.joblib,84470565,local,False,True,gensim + scikit-learn,not_applicable,0.7711486437084156,0.888975457732762,0.6406513194834362,0.7446565508239517,0.7768341291450449,5983,570,2560,4564,0.08698306119334656,0.3593486805165637,0.9108310199570846,0.0038,254.9628,2.8e-07,3599210.5263,0,0.0,0.0,0.0028,0.0278,0.2778,0.0,0.0,0.0
word2vec,rf,word2vec_rf,validation,39314,13677,13677,254.9432,24.9612,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_rf.joblib,102441603,local,False,True,gensim + scikit-learn,not_applicable,0.9837683702566352,0.984554900308902,0.9842784952274003,0.9844166783658571,0.9837461452178509,6443,110,112,7012,0.01678620479169846,0.015721504772599662,0.9989073779529981,0.0696,279.974,5.09e-06,196508.6207,0,0.0,0.0,0.0509,0.5089,5.0888,0.0,0.0,0.0
word2vec,rf,word2vec_rf,test,39314,13677,13677,254.9432,24.9612,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_rf.joblib,102441603,local,False,True,gensim + scikit-learn,not_applicable,0.9853037946918184,0.9880163541519809,0.9837170129140932,0.9858619962017303,0.9853729273329812,6468,85,116,7008,0.012971158248130627,0.016282987085906794,0.9990719004963887,0.0678,279.9722,4.96e-06,201725.6637,0,0.0,0.0,0.0496,0.4957,4.9572,0.0,0.0,0.0
word2vec,svm,word2vec_svm,validation,39314,13677,13677,254.9432,0.34,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_svm.joblib,84468137,local,False,True,gensim + scikit-learn,not_applicable,0.9747020545441252,0.9738534675615212,0.9776810780460415,0.9757635191930513,0.9745722649500771,6366,187,159,6965,0.02853654814588738,0.02231892195395845,0.9964982435362916,0.0017,255.2849,1.2e-07,8045294.1176,0,0.0,0.0,0.0012,0.0124,0.1243,0.0,0.0,0.0
word2vec,svm,word2vec_svm,test,39314,13677,13677,254.9432,0.34,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/word2vec_svm.joblib,84468137,local,False,True,gensim + scikit-learn,not_applicable,0.9776997879651971,0.9790642124490656,0.9781021897810219,0.9785829646794467,0.9776822561906788,6404,149,156,6968,0.022737677399664275,0.021897810218978103,0.9964053307660348,0.0014,255.2846,1e-07,9769285.7143,0,0.0,0.0,0.001,0.0102,0.1024,0.0,0.0,0.0
